difficulty,proficiency_group,submission_rank,delta_seconds,next_status
D,G6,4,,Abandon
D,G6,1,,Abandon
C,G6,1,240,WA
E,G4,1,,Abandon
D,G4,3,804,RE
C,G4,1,451,AC
E,G3,2,1688,WA
E,G3,1,,Abandon
C,G4,1,327,TLE
C,G4,2,367,CE
C,G4,4,420,TLE
C,G4,5,,Abandon
D,G5,1,1722,TLE
D,G5,2,988,WA
D,G5,1,353,TLE
D,G5,2,344,TLE
D,G5,3,447,AC
B,G1,1,,Abandon
C,G6,1,359,TLE
C,G6,2,341019,TLE
C,G6,3,3330,WA
B,G6,1,275,AC
C,G6,1,649,TLE
C,G6,2,421,RE
C,G6,4,,Abandon
E,G6,2,1079,WA
E,G6,5,3062,AC
C,G6,1,889,TLE
C,G6,2,402,AC
B,G6,1,271,WA
B,G6,3,726,TLE
B,G6,4,536,WA
D,G6,1,,Abandon
D,G6,1,,Abandon
F,G6,4,833,AC
C,G6,2,574,TLE
C,G6,3,104,TLE
C,G6,4,213,AC
C,G6,4,2503,WA
C,G6,1,2785,TLE
C,G6,2,383,RE
C,G6,4,8012685,TLE
C,G6,5,263,WA
C,G6,7,25906161,TLE
C,G6,8,199,AC
C,G6,3,74406,AC
C,G6,5,845,TLE
C,G6,6,633,AC
C,G6,1,232,AC
D,G6,2,121905,TLE
D,G6,3,3485,TLE
D,G6,4,36682,RE
D,G6,6,842,WA
D,G6,8,307,TLE
D,G6,9,2342,WA
B,G6,1,2078,WA
C,G6,1,284,AC
B,G6,5,146,AC
B,G6,7,24552180,TLE
B,G6,8,1951,TLE
B,G6,9,613,TLE
B,G6,10,7992,TLE
B,G6,11,2338,AC
B,G6,13,1268,WA
C,G3,1,152,AC
B,G3,1,571,AC
D,G3,1,234,TLE
D,G3,2,2308,TLE
D,G3,3,,Abandon
C,G3,1,,Abandon
D,G4,3,705,TLE
D,G4,4,444,TLE
D,G4,5,5866,WA
C,G4,1,62089,AC
C,G4,3,211,WA
C,G4,5,91,TLE
C,G4,6,188,TLE
C,G4,7,60034,AC
D,G4,1,157,TLE
D,G4,2,88,TLE
D,G4,3,303,TLE
D,G4,4,605,TLE
D,G4,5,309,TLE
D,G4,6,61786,RE
D,G4,8,256,AC
C,G3,1,2324,AC
C,G3,1,3098,WA
C,G3,1,392,AC
C,G3,1,4032,TLE
C,G3,2,1716,WA
C,G3,5,575,TLE
C,G3,6,71,WA
C,G3,1,3936,WA
C,G3,2,598,TLE
C,G3,3,660,TLE
C,G3,4,973,AC
C,G3,5,1470,AC
C,G3,4,522,RE
C,G3,7,971,TLE
C,G3,8,523,TLE
C,G3,9,395,TLE
C,G3,10,1007,TLE
C,G3,11,298,TLE
C,G3,12,945,AC
E,G6,1,69,AC
D,G6,1,2950,CE
E,G6,1,869919,AC
E,G6,2,393,AC
F,G6,1,158668,AC
D,G6,1,160,TLE
D,G6,2,621,WA
D,G6,4,401,TLE
D,G6,5,129,WA
D,G6,2,,Abandon
D,G6,1,2745,WA
E,G6,1,2425,AC
C,G6,1,153721,AC
C,G6,1,388,AC
C,G6,1,732,WA
D,G6,1,2097,TLE
D,G6,2,324,TLE
D,G6,3,205,TLE
D,G6,4,1143,AC
C,G6,1,1105,WA
B,G6,1,861,AC
D,G4,4,184,TLE
D,G4,5,153,AC
B,G2,1,1076,WA
D,G3,3,1370,TLE
D,G3,4,,Abandon
D,G4,9,45,TLE
D,G4,10,38,TLE
D,G4,11,40,TLE
D,G4,12,77,WA
C,G4,1,301,AC
D,G4,1,1102,TLE
D,G4,2,2921,WA
D,G4,4,55,TLE
D,G4,5,,Abandon
D,G4,4,621,TLE
D,G4,5,1039,TLE
D,G4,6,1044,TLE
D,G4,7,793,WA
D,G4,4,,Abandon
D,G4,3,,Abandon
C,G4,4,336,AC
D,G4,1,5891,AC
B,G4,2,,Abandon
B,G4,1,471,AC
C,G4,2,,Abandon
D,G4,1,,Abandon
C,G4,1,1295,TLE
C,G4,2,,Abandon
C,G4,1,,Abandon
C,G4,1,401,AC
C,G4,1,,Abandon
C,G4,1,,Abandon
C,G4,1,395,AC
C,G4,2,765,TLE
C,G4,3,727,TLE
C,G4,4,,Abandon
C,G4,1,539,TLE
C,G4,2,,Abandon
C,G4,2,113,TLE
C,G4,3,,Abandon
D,G4,1,,Abandon
D,G4,1,760,AC
D,G6,1,,Abandon
B,G1,1,,Abandon
E,G6,1,42185,AC
E,G6,1,,Abandon
D,G6,1,1802,AC
D,G6,1,581,AC
D,G6,1,4502,AC
F,G6,3,124,AC
D,G6,2,368,AC
C,G6,1,419,WA
C,G3,1,326,AC
C,G4,1,,Abandon
A,G4,1,,Abandon
D,G4,1,472,WA
D,G4,4,416,TLE
D,G4,5,,Abandon
C,G4,1,841,WA
D,G3,1,,Abandon
C,G3,1,188,TLE
C,G3,2,1941,TLE
C,G3,3,,Abandon
C,G3,1,608,WA
C,G3,3,551,WA
D,G5,2,503,TLE
D,G5,3,737,AC
E,G5,1,343,AC
C,G4,2,62013,TLE
C,G4,3,437,TLE
C,G4,4,,Abandon
C,G4,1,,Abandon
B,G4,1,,Abandon
B,G4,1,1757,TLE
B,G4,2,2872276,WA
B,G4,4,84552,AC
E,G5,1,,Abandon
C,G5,1,277,AC
D,G5,1,,Abandon
C,G5,1,553,TLE
C,G5,2,49,TLE
C,G5,3,1517,AC
C,G5,1,1199,WA
D,G5,1,,Abandon
C,G5,1,418978,RE
C,G1,1,688,RE
C,G1,3,541,RE
A,G1,1,,Abandon
C,G3,1,4465,AC
C,G3,1,,Abandon
C,G3,2,371,TLE
C,G3,3,271,TLE
C,G3,4,,Abandon
B,G3,6,219,TLE
B,G3,7,627,WA
C,G3,2,178,WA
E,G3,1,1722,RE
C,G3,1,165452,AC
D,G3,1,,Abandon
E,G5,3,,Abandon
B,G5,2,481,WA
B,G2,1,,Abandon
D,G6,1,76,TLE
D,G6,2,6953,AC
E,G6,1,74,AC
F,G6,1,1241,WA
C,G6,1,623,AC
D,G6,1,136,AC
E,G6,3,229,TLE
E,G6,4,,Abandon
D,G6,2,744,WA
E,G6,1,30,TLE
E,G6,2,1011,TLE
E,G6,3,278,AC
E,G6,1,318,TLE
E,G6,2,,Abandon
F,G6,1,32,RE
E,G6,1,668,TLE
E,G6,2,718,TLE
E,G6,3,327,TLE
E,G6,4,215,WA
E,G6,7,94,WA
B,G6,1,209,TLE
B,G6,2,91,WA
F,G6,1,,Abandon
E,G6,1,,Abandon
E,G6,1,3032,TLE
E,G6,2,1785,AC
D,G6,1,514,TLE
D,G6,2,3407,TLE
D,G6,3,234,TLE
D,G6,4,1929,WA
D,G6,1,474,AC
F,G6,3,351,AC
D,G6,1,21,TLE
D,G6,2,201,RE
D,G6,1,4352,AC
D,G6,1,47,WA
D,G6,3,65,AC
D,G6,1,112,TLE
D,G6,2,9,AC
D,G4,1,343,TLE
D,G4,2,472,TLE
D,G4,3,1466,WA
D,G3,1,1243,TLE
D,G3,2,2694,WA
C,G3,1,1505,TLE
C,G3,2,7139,RE
C,G5,1,474,AC
D,G5,1,172,TLE
D,G5,2,466,WA
D,G5,4,,Abandon
D,G5,6,713,AC
D,G5,1,962,AC
D,G4,2,,Abandon
D,G4,1,656,WA
D,G4,1,426,TLE
D,G4,2,2883,AC
D,G4,1,1556,AC
C,G4,1,387,AC
C,G4,1,821,TLE
C,G4,2,1586,AC
D,G4,1,262,WA
D,G4,3,219,TLE
D,G4,4,,Abandon
D,G4,1,582,AC
C,G4,2,1172,AC
D,G4,2,542,WA
D,G4,5,199,WA
C,G4,2,830,AC
D,G4,1,2062,TLE
D,G4,2,758,AC
D,G4,1,648,AC
D,G4,1,317,TLE
D,G4,2,4081,AC
C,G4,1,1732,WA
C,G4,1,386,TLE
C,G4,2,715,TLE
C,G4,3,91163,RE
C,G4,1,6389,AC
C,G4,1,174,WA
C,G4,1,403,AC
C,G4,1,552,WA
C,G4,1,1424,AC
C,G4,1,,Abandon
C,G4,1,223,TLE
C,G4,2,476,AC
C,G4,1,626,TLE
C,G4,2,158,TLE
C,G4,3,9757789,AC
C,G4,1,1098,AC
E,G5,1,1849,AC
E,G5,1,340,WA
E,G5,7,,Abandon
D,G5,2,,Abandon
D,G5,2,,Abandon
C,G5,1,711,AC
B,G3,2,55,WA
B,G3,6,23,CE
D,G4,1,453,AC
C,G4,1,,Abandon
F,G6,1,629,AC
D,G6,1,461,TLE
D,G6,2,107,AC
F,G6,1,165,AC
F,G6,1,220,TLE
F,G6,2,1491,WA
F,G6,1,1080,TLE
F,G6,2,666,AC
F,G6,2,190,AC
C,G6,2,375530,AC
C,G6,1,178,AC
C,G3,1,456,TLE
C,G3,2,,Abandon
C,G5,1,722,AC
E,G5,1,183,TLE
E,G5,2,115,RE
E,G5,4,74147,TLE
E,G5,5,7441,AC
B,G5,1,598,AC
E,G5,1,381,TLE
E,G5,2,33,TLE
E,G5,3,696,AC
D,G5,1,497,TLE
D,G5,2,832,AC
D,G5,1,263,AC
E,G5,2,,Abandon
C,G5,1,1056,WA
C,G5,5,126,CE
C,G5,8,,Abandon
D,G5,1,665,AC
C,G3,1,,Abandon
D,G5,1,1602,WA
E,G5,1,372,WA
C,G4,5,6922,WA
D,G4,1,122,CE
C,G4,1,,Abandon
D,G4,1,,Abandon
D,G4,2,,Abandon
C,G4,1,,Abandon
C,G2,1,142,WA
E,G6,1,329319,WA
F,G6,1,5632,WA
C,G6,1,128,AC
D,G6,1,272,TLE
D,G6,2,1534,AC
C,G6,2,42711,CE
B,G6,1,315,AC
D,G4,1,,Abandon
D,G4,1,839,TLE
D,G4,2,,Abandon
C,G4,1,507,AC
D,G4,1,,Abandon
C,G4,1,137,TLE
C,G4,2,694,AC
C,G4,7,917,CE
D,G4,1,480,AC
D,G4,1,,Abandon
C,G4,1,1950,WA
C,G4,5,2726,WA
D,G4,2,108,TLE
D,G4,3,,Abandon
C,G6,1,,Abandon
E,G6,1,125,AC
D,G4,1,,Abandon
D,G4,1,2454,WA
C,G4,1,1051,AC
D,G3,1,1238,TLE
D,G3,2,,Abandon
D,G4,1,296,TLE
D,G4,2,1318,WA
C,G5,1,222,AC
C,G5,3,154,AC
D,G5,1,39,AC
D,G5,1,599,WA
E,G5,2,,Abandon
C,G5,2,8208,WA
C,G5,2,472,TLE
C,G5,3,53,TLE
C,G5,4,479,AC
D,G5,1,3651,TLE
D,G5,2,318,WA
D,G5,4,7131,AC
D,G5,1,365,TLE
D,G5,2,88,TLE
D,G5,3,4372,AC
D,G5,5,883,TLE
D,G5,6,2503,TLE
D,G5,7,185,TLE
D,G5,8,898631,TLE
D,G5,9,,Abandon
C,G5,1,561,AC
C,G5,13,26,TLE
C,G5,14,56,AC
C,G5,14,102,TLE
C,G5,15,246,AC
C,G5,1,26587,TLE
C,G5,2,576,TLE
C,G5,3,304,TLE
C,G5,4,1386,AC
D,G5,1,756,TLE
D,G5,2,388,TLE
D,G5,3,58,TLE
D,G5,4,380,RE
D,G5,6,442,TLE
D,G5,7,31658,TLE
D,G5,8,108,AC
C,G5,1,93004,AC
C,G5,1,209,TLE
C,G5,2,963,TLE
C,G5,3,530,TLE
C,G5,4,562,TLE
C,G5,5,2179,TLE
C,G5,6,91222,AC
C,G5,1,1092,TLE
C,G5,2,195,TLE
C,G5,3,236,TLE
C,G5,4,241,TLE
C,G5,5,870,TLE
C,G5,6,296,TLE
C,G5,7,189,TLE
C,G5,8,288,AC
D,G5,1,,Abandon
C,G5,2,85,TLE
C,G5,3,120,TLE
C,G5,4,2058,AC
C,G5,1,333,TLE
C,G5,2,293,AC
C,G5,4,152,AC
C,G5,1,798,AC
C,G5,3,73,AC
C,G5,1,460,TLE
C,G5,2,568,AC
C,G5,1,816,AC
B,G5,1,1739,AC
B,G5,1,1822,TLE
B,G5,2,396,TLE
B,G5,3,521,AC
C,G5,1,616,AC
F,G6,2,126,AC
C,G6,1,1574,AC
D,G6,1,446,AC
E,G6,1,920,WA
E,G6,3,3918,TLE
E,G6,4,6157,TLE
E,G6,5,429,TLE
E,G6,6,227,WA
E,G6,11,696,TLE
E,G6,12,72823,AC
D,G6,1,8302183,WA
D,G6,7,6177,AC
F,G6,4,1561,RE
F,G6,7,2770,AC
E,G6,1,264,TLE
E,G6,2,8954076,TLE
E,G6,3,6345,AC
E,G6,2,121,TLE
E,G6,3,2049,TLE
E,G6,4,199,TLE
E,G6,5,2180292,RE
E,G6,7,176603,WA
D,G6,1,521,RE
D,G6,3,84513,TLE
D,G6,4,6040,AC
C,G6,6,720,AC
D,G6,5,6324964,TLE
D,G6,6,131,TLE
D,G6,7,2233,TLE
D,G6,8,18,TLE
D,G6,9,87,TLE
D,G6,10,769,TLE
D,G6,11,1209,AC
C,G6,1,534,WA
D,G6,1,1396,AC
D,G6,1,614,AC
C,G6,1,109432427,TLE
C,G6,2,282,TLE
C,G6,3,3106,TLE
C,G6,4,2222,AC
E,G4,2,,Abandon
C,G4,1,195,AC
D,G4,2,,Abandon
C,G4,2,951,TLE
C,G4,3,1025,TLE
C,G4,4,497,TLE
C,G4,5,7759,AC
D,G4,2,1009,TLE
D,G4,3,3720,WA
D,G6,1,912,AC
D,G6,2,2027,TLE
D,G6,3,1370,AC
B,G6,2,176,AC
D,G6,2,316,WA
D,G6,6,492,TLE
D,G6,7,374,AC
D,G6,10,,Abandon
E,G6,1,1409,RE
E,G6,6,39523,RE
E,G6,9,614,RE
E,G6,11,819,TLE
E,G6,12,302,TLE
